FileName,Label,FileContent
ANTLR.java,optional,"['io', 'buffer', 'reader', 'io', 'byte', 'array', 'output', 'stream', 'io', 'file', 'io', 'file', 'reader', 'io', 'ioexcept', 'org', 'apach', 'tool', 'ant', 'ant', 'class', 'loader', 'org', 'apach', 'tool', 'ant', 'build', 'except', 'org', 'apach', 'tool', 'ant', 'project', 'org', 'apach', 'tool', 'ant', 'task', 'org', 'apach', 'tool', 'ant', 'taskdef', 'execut', 'org', 'apach', 'tool', 'ant', 'taskdef', 'log', 'output', 'stream', 'org', 'apach', 'tool', 'ant', 'taskdef', 'pump', 'stream', 'handler', 'org', 'apach', 'tool', 'ant', 'taskdef', 'condit', 'os', 'org', 'apach', 'tool', 'ant', 'type', 'commandlin', 'org', 'apach', 'tool', 'ant', 'type', 'commandlin', 'java', 'org', 'apach', 'tool', 'ant', 'type', 'path', 'org', 'apach', 'tool', 'ant', 'util', 'java', 'env', 'util', 'org', 'apach', 'tool', 'ant', 'util', 'loader', 'util', 'org', 'apach', 'tool', 'ant', 'util', 'tee', 'output', 'stream', 'org', 'apach', 'tool', 'ant', 'util', 'file', 'util', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'optional']"
AbstractAccessTask.java,optional,"['io', 'file', 'org', 'apach', 'tool', 'ant', 'build', 'except', 'org', 'apach', 'tool', 'ant', 'taskdef', 'condit', 'os', 'org', 'apach', 'tool', 'ant', 'type', 'commandlin', 'org', 'apach', 'tool', 'ant', 'type', 'file', 'set', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'optional', 'unix']"
AbstractAnalyzer.java,util,"['io', 'file', 'io', 'ioexcept', 'util', 'enumer', 'util', 'vector', 'util', 'zip', 'zip', 'file', 'org', 'apach', 'tool', 'ant', 'type', 'path', 'org', 'apache', 'tools', 'ant', 'util', 'depend']"
AbstractCvsTask.java,taskdef,"['io', 'buffer', 'output', 'stream', 'io', 'file', 'io', 'file', 'output', 'stream', 'io', 'ioexcept', 'io', 'output', 'stream', 'io', 'print', 'stream', 'util', 'vector', 'org', 'apach', 'tool', 'ant', 'build', 'except', 'org', 'apach', 'tool', 'ant', 'project', 'org', 'apach', 'tool', 'ant', 'task', 'org', 'apach', 'tool', 'ant', 'type', 'commandlin', 'org', 'apach', 'tool', 'ant', 'type', 'environ', 'org', 'apach', 'tool', 'ant', 'util', 'string', 'util', 'org', 'apach', 'tool', 'ant', 'util', 'file', 'util', 'org', 'apache', 'tools', 'ant', 'taskdefs']"
AbstractFileSet.java,type,"['io', 'file', 'util', 'vector', 'util', 'enumer', 'org', 'apach', 'tool', 'ant', 'project', 'org', 'apach', 'tool', 'ant', 'file', 'scanner', 'org', 'apach', 'tool', 'ant', 'build', 'except', 'org', 'apach', 'tool', 'ant', 'directori', 'scanner', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'or', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'and', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'not', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'date', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'file', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'none', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'size', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'type', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'depth', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'depend', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'extend', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'select', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'present', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'selector', 'scanner', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'contain', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'filenam', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'major', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'differ', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'selector', 'contain', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'contain', 'regexp', 'selector', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'modifiedselector', 'modifi', 'selector', 'org', 'apache', 'tools', 'ant', 'types']"
AbstractHotDeploymentTool.java,optional,"['org', 'apach', 'tool', 'ant', 'build', 'except', 'org', 'apach', 'tool', 'ant', 'type', 'path', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'optional', 'j2ee']"
AbstractJarSignerTask.java,taskdef,"['io', 'file', 'util', 'enumer', 'util', 'vector', 'org', 'apach', 'tool', 'ant', 'build', 'except', 'org', 'apach', 'tool', 'ant', 'task', 'org', 'apach', 'tool', 'ant', 'type', 'environ', 'org', 'apach', 'tool', 'ant', 'type', 'file', 'set', 'org', 'apach', 'tool', 'ant', 'type', 'path', 'org', 'apach', 'tool', 'ant', 'type', 'redirector', 'element', 'org', 'apach', 'tool', 'ant', 'util', 'java', 'env', 'util', 'org', 'apache', 'tools', 'ant', 'taskdefs']"
AbstractScriptComponent.java,type,"['org', 'apach', 'tool', 'ant', 'project', 'org', 'apach', 'tool', 'ant', 'project', 'compon', 'org', 'apach', 'tool', 'ant', 'type', 'path', 'org', 'apach', 'tool', 'ant', 'type', 'refer', 'org', 'apach', 'tool', 'ant', 'util', 'script', 'runner', 'base', 'org', 'apach', 'tool', 'ant', 'util', 'script', 'runner', 'helper', 'io', 'file', 'org', 'apache', 'tools', 'ant', 'types', 'optional']"
AbstractSelectorContainer.java,type,"['util', 'enumer', 'util', 'vector', 'org', 'apach', 'tool', 'ant', 'project', 'org', 'apach', 'tool', 'ant', 'type', 'data', 'type', 'org', 'apach', 'tool', 'ant', 'type', 'selector', 'modifiedselector', 'modifi', 'selector', 'org', 'apache', 'tools', 'ant', 'types', 'selectors']"
AbstractSshMessage.java,optional,"['com', 'jcraft', 'jsch', 'channel', 'com', 'jcraft', 'jsch', 'channel', 'exec', 'com', 'jcraft', 'jsch', 'jsch', 'except', 'com', 'jcraft', 'jsch', 'session', 'com', 'jcraft', 'jsch', 'channel', 'sftp', 'com', 'jcraft', 'jsch', 'sftp', 'progress', 'monitor', 'io', 'ioexcept', 'io', 'output', 'stream', 'io', 'input', 'stream', 'text', 'number', 'format', 'org', 'apach', 'tool', 'ant', 'build', 'except', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'optional', 'ssh']"
