FileName,Label,FileContent
AboutBox.java,gui,"['awt', 'border', 'layout', 'awt', 'dimens', 'awt', 'frame', 'awt', 'inset', 'awt', 'toolkit', 'javax', 'swing', 'jpanel', 'javax', 'swing', 'jscroll', 'pane', 'javax', 'swing', 'jtab', 'pane', 'javax', 'swing', 'jtext', 'area', 'javax', 'swing', 'border', 'empti', 'border', 'org', 'argouml', 'i', 'n', 'translat', 'org', 'argouml', 'util', 'argo', 'dialog', 'org', 'argouml', 'util', 'tool', 'org', 'argouml', 'ui']"
AbstractActionCheckBoxMenuItem.java,diagram,"['awt', 'event', 'action', 'event', 'util', 'iter', 'javax', 'swing', 'action', 'org', 'argouml', 'i', 'n', 'translat', 'org', 'argouml', 'ui', 'targetmanag', 'target', 'manag', 'org', 'tigri', 'gef', 'undo', 'undoabl', 'action', 'org', 'argouml', 'uml', 'diagram', 'ui']"
AbstractActionRadioMenuItem.java,diagram,"['awt', 'event', 'action', 'event', 'util', 'iter', 'javax', 'swing', 'action', 'org', 'argouml', 'applic', 'helper', 'resourc', 'loader', 'wrapper', 'org', 'argouml', 'i', 'n', 'translat', 'org', 'argouml', 'ui', 'targetmanag', 'target', 'manag', 'org', 'tigri', 'gef', 'undo', 'undoabl', 'action', 'org', 'argouml', 'uml', 'diagram', 'ui']"
AbstractArgoJPanel.java,gui,"['awt', 'border', 'layout', 'awt', 'point', 'awt', 'rectangl', 'javax', 'swing', 'jdialog', 'javax', 'swing', 'jpanel', 'javax', 'swing', 'jtab', 'pane', 'javax', 'swing', 'swing', 'util', 'org', 'apach', 'log', 'j', 'logger', 'org', 'argouml', 'i', 'n', 'translat', 'org', 'argouml', 'util', 'argo', 'frame', 'org', 'tigri', 'swidget', 'orient', 'org', 'tigri', 'swidget', 'orient', 'org', 'argouml', 'ui']"
AbstractCognitiveTranslator.java,critic,"['org', 'argouml', 'cognitive']"
AbstractFigComponent.java,diagram,"['awt', 'color', 'awt', 'dimens', 'awt', 'rectangl', 'bean', 'properti', 'chang', 'event', 'util', 'array', 'list', 'util', 'collect', 'util', 'iter', 'util', 'list', 'org', 'argouml', 'model', 'associ', 'chang', 'event', 'org', 'argouml', 'model', 'attribut', 'chang', 'event', 'org', 'argouml', 'model', 'model', 'org', 'argouml', 'uml', 'diagram', 'ui', 'fig', 'edg', 'model', 'element', 'org', 'argouml', 'uml', 'diagram', 'ui', 'fig', 'node', 'model', 'element', 'org', 'tigri', 'gef', 'base', 'select', 'org', 'tigri', 'gef', 'graph', 'graph', 'model', 'org', 'tigri', 'gef', 'present', 'fig', 'org', 'tigri', 'gef', 'present', 'fig', 'rect', 'org', 'tigri', 'gef', 'present', 'fig', 'text', 'org', 'argouml', 'uml', 'diagram', 'deployment', 'ui']"
AbstractFigNode.java,diagram,"['awt', 'color', 'awt', 'dimens', 'awt', 'point', 'awt', 'rectangl', 'awt', 'event', 'mous', 'event', 'bean', 'properti', 'chang', 'event', 'util', 'array', 'list', 'util', 'collect', 'util', 'iter', 'org', 'argouml', 'model', 'associ', 'chang', 'event', 'org', 'argouml', 'model', 'attribut', 'chang', 'event', 'org', 'argouml', 'model', 'model', 'org', 'argouml', 'uml', 'diagram', 'ui', 'fig', 'edg', 'model', 'element', 'org', 'argouml', 'uml', 'diagram', 'ui', 'fig', 'node', 'model', 'element', 'org', 'tigri', 'gef', 'base', 'geometri', 'org', 'tigri', 'gef', 'base', 'select', 'org', 'tigri', 'gef', 'graph', 'graph', 'model', 'org', 'tigri', 'gef', 'present', 'fig', 'org', 'tigri', 'gef', 'present', 'fig', 'cube', 'org', 'tigri', 'gef', 'present', 'fig', 'rect', 'org', 'tigri', 'gef', 'present', 'fig', 'text', 'org', 'argouml', 'uml', 'diagram', 'deployment', 'ui']"
AbstractFilePersister.java,persistence,"['io', 'file', 'io', 'file', 'input', 'stream', 'io', 'file', 'not', 'found', 'except', 'io', 'file', 'output', 'stream', 'io', 'ioexcept', 'javax', 'swing', 'event', 'event', 'listen', 'list', 'javax', 'swing', 'filechoos', 'file', 'filter', 'org', 'argouml', 'kernel', 'project', 'org', 'argouml', 'taskmgmt', 'progress', 'event', 'org', 'argouml', 'taskmgmt', 'progress', 'listen', 'org', 'argouml', 'util', 'thread', 'util', 'org', 'argouml', 'persistence']"
AbstractGoList.java,critic,"['javax', 'swing', 'tree', 'tree', 'model', 'org', 'tigri', 'gef', 'util', 'predic', 'org', 'tigri', 'gef', 'util', 'predic', 'true', 'org', 'argouml', 'cognitive', 'ui']"
AbstractPerspectiveRule.java,explorer,"['util', 'collect', 'org', 'argouml', 'ui', 'explorer', 'rules']"
