FileName,Label,FileContent
ACMPortalFetcher.java,gui,"['awt', 'dimens', 'awt', 'grid', 'layout', 'io', 'buffer', 'reader', 'io', 'ioexcept', 'io', 'input', 'stream', 'reader', 'net', 'malform', 'urlexcept', 'net', 'url', 'net', 'urlconnect', 'nio', 'charset', 'standard', 'charset', 'util', 'collect', 'util', 'link', 'hash', 'map', 'util', 'map', 'util', 'no', 'such', 'element', 'except', 'util', 'option', 'util', 'regex', 'matcher', 'util', 'regex', 'pattern', 'javax', 'swing', 'button', 'group', 'javax', 'swing', 'jcheck', 'box', 'javax', 'swing', 'jlabel', 'javax', 'swing', 'joption', 'pane', 'javax', 'swing', 'jpanel', 'javax', 'swing', 'jradio', 'button', 'net', 'sf', 'jabref', 'global', 'net', 'sf', 'jabref', 'gui', 'import', 'fetcher', 'preview', 'dialog', 'net', 'sf', 'jabref', 'logic', 'formatt', 'bibtexfield', 'html', 'to', 'latex', 'formatt', 'net', 'sf', 'jabref', 'logic', 'formatt', 'bibtexfield', 'unit', 'to', 'latex', 'formatt', 'net', 'sf', 'jabref', 'logic', 'formatt', 'casechang', 'protect', 'term', 'formatt', 'net', 'sf', 'jabref', 'logic', 'help', 'help', 'file', 'net', 'sf', 'jabref', 'logic', 'import', 'import', 'inspector', 'net', 'sf', 'jabref', 'logic', 'import', 'output', 'printer', 'net', 'sf', 'jabref', 'logic', 'import', 'fileformat', 'bibtex', 'parser', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'local', 'net', 'sf', 'jabref', 'logic', 'net', 'urldownload', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'model', 'entri', 'field', 'name', 'net', 'sf', 'jabref', 'prefer', 'jab', 'ref', 'prefer', 'org', 'apach', 'common', 'log', 'log', 'org', 'apach', 'common', 'log', 'log', 'factori', 'net', 'sf', 'jabref', 'gui', 'importer', 'fetcher']"
ACS.java,logic,"['io', 'ioexcept', 'net', 'url', 'util', 'object', 'util', 'option', 'net', 'sf', 'jabref', 'logic', 'import', 'fulltext', 'fetcher', 'net', 'sf', 'jabref', 'logic', 'util', 'doi', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'model', 'entri', 'field', 'name', 'org', 'apach', 'common', 'log', 'log', 'org', 'apach', 'common', 'log', 'log', 'factori', 'org', 'jsoup', 'jsoup', 'org', 'jsoup', 'node', 'document', 'org', 'jsoup', 'node', 'element', 'net', 'sf', 'jabref', 'logic', 'importer', 'fetcher']"
ASCIICharacterChecker.java,logic,"['util', 'array', 'list', 'util', 'list', 'util', 'map', 'net', 'sf', 'jabref', 'logic', 'integr', 'integr', 'check', 'checker', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'local', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'com', 'googl', 'common', 'base', 'char', 'matcher', 'net', 'sf', 'jabref', 'logic', 'integrity']"
AbbreviateAction.java,gui,"['util', 'list', 'net', 'sf', 'jabref', 'global', 'net', 'sf', 'jabref', 'gui', 'base', 'panel', 'net', 'sf', 'jabref', 'gui', 'undo', 'name', 'compound', 'net', 'sf', 'jabref', 'gui', 'worker', 'abstract', 'worker', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'local', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'model', 'entri', 'intern', 'bibtex', 'field', 'net', 'sf', 'jabref', 'gui', 'journals']"
Abbreviation.java,logic,"['util', 'object', 'net', 'sf', 'jabref', 'logic', 'journals']"
AbbreviationChecker.java,logic,"['util', 'collect', 'util', 'list', 'util', 'option', 'net', 'sf', 'jabref', 'logic', 'integr', 'integr', 'check', 'checker', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'local', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'logic', 'integrity']"
AbbreviationParser.java,logic,"['io', 'buffer', 'reader', 'io', 'file', 'io', 'file', 'input', 'stream', 'io', 'file', 'not', 'found', 'except', 'io', 'file', 'reader', 'io', 'ioexcept', 'io', 'input', 'stream', 'reader', 'io', 'reader', 'net', 'url', 'nio', 'charset', 'charset', 'nio', 'charset', 'standard', 'charset', 'util', 'link', 'list', 'util', 'list', 'util', 'object', 'org', 'apach', 'common', 'log', 'log', 'org', 'apach', 'common', 'log', 'log', 'factori', 'net', 'sf', 'jabref', 'logic', 'journals']"
AboutAction.java,gui,"['awt', 'frame', 'awt', 'event', 'action', 'event', 'javax', 'swing', 'action', 'javax', 'swing', 'icon', 'net', 'sf', 'jabref', 'gui', 'action', 'mnemon', 'awar', 'action', 'net', 'sf', 'jabref', 'gui', 'help']"
AboutDialog.java,gui,"['awt', 'border', 'layout', 'awt', 'color', 'awt', 'cursor', 'awt', 'dimens', 'awt', 'frame', 'util', 'object', 'javax', 'swing', 'box', 'javax', 'swing', 'box', 'layout', 'javax', 'swing', 'jbutton', 'javax', 'swing', 'jdialog', 'javax', 'swing', 'jlabel', 'javax', 'swing', 'jpanel', 'javax', 'swing', 'jscroll', 'pane', 'javax', 'swing', 'jtext', 'pane', 'javax', 'swing', 'swing', 'constant', 'javax', 'swing', 'border', 'empti', 'border', 'javax', 'swing', 'text', 'simpl', 'attribut', 'set', 'javax', 'swing', 'text', 'style', 'constant', 'javax', 'swing', 'text', 'style', 'document', 'net', 'sf', 'jabref', 'global', 'net', 'sf', 'jabref', 'gui', 'action', 'copi', 'version', 'to', 'clipboard', 'action', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'local', 'net', 'sf', 'jabref', 'gui', 'help']"
AbstractAutoCompleter.java,logic,"['util', 'array', 'list', 'util', 'hash', 'map', 'util', 'list', 'util', 'map', 'util', 'object', 'util', 'set', 'util', 'sort', 'set', 'util', 'tree', 'set', 'net', 'sf', 'jabref', 'logic', 'layout', 'format', 'latex', 'to', 'unicod', 'formatt', 'net', 'sf', 'jabref', 'logic', 'autocompleter']"
AbstractBibtexKeyPattern.java,model,"['util', 'array', 'list', 'util', 'hash', 'map', 'util', 'list', 'util', 'map', 'util', 'object', 'util', 'set', 'util', 'string', 'token', 'util', 'stream', 'collector', 'net', 'sf', 'jabref', 'model', 'bibtexkeypattern']"
AbstractGroup.java,model,"['util', 'collect', 'util', 'list', 'util', 'option', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'model', 'search', 'search', 'matcher', 'net', 'sf', 'jabref', 'model', 'groups']"
AbstractParamLayoutFormatter.java,logic,"['util', 'array', 'list', 'util', 'list', 'net', 'sf', 'jabref', 'logic', 'layout']"
