FileName,Label,FileContent
AbortConnectorCreationStrokeHandler.java,eclipse-ui,"['org', 'eclips', 'gef', 'mvc', 'fx', 'behavior', 'abstract', 'behavior', 'org', 'eclips', 'gef', 'mvc', 'fx', 'handler', 'ion', 'stroke', 'handler', 'javafx', 'scene', 'input', 'key', 'code', 'javafx', 'scene', 'input', 'key', 'event', 'se', 'kau', 'cs', 'jittac', 'eclips', 'ui', 'model', 'item', 'creation', 'model', 'se', 'kau', 'cs', 'jittac', 'eclipse', 'ui', 'policies']"
AbstractArchitectureElement.java,architecture-model,"['util', 'uuid', 'se', 'kau', 'cs', 'jittac', 'model', 'am']"
AbstractArchitectureMappingChangeListener.java,resource-mapping,"['se', 'kau', 'cs', 'jittac', 'model', 'mapping', 'events']"
AbstractArchitectureModelChangeListener.java,architecture-model,"['se', 'kau', 'cs', 'jittac', 'model', 'am', 'events']"
AbstractBuildEventListener.java,impl-model,"['se', 'kau', 'cs', 'jittac', 'model', 'im', 'events']"
AbstractJittacProject.java,resource-mapping,"['se', 'kau', 'cs', 'jittac', 'model', 'mapping']"
AbstractJittacResource.java,resource-mapping,"['se', 'kau', 'cs', 'jittac', 'model', 'mapping']"
AbstractMappableElement.java,resource-mapping,"['se', 'kau', 'cs', 'jittac', 'model', 'mapping']"
Activator.java,eclipse-main,"['org', 'eclips', 'jdt', 'core', 'java', 'core', 'is', 'java', 'like', 'file', 'name', 'net', 'url', 'util', 'hash', 'map', 'util', 'map', 'org', 'eclips', 'core', 'resourc', 'iproject', 'org', 'eclips', 'core', 'resourc', 'iresourc', 'org', 'eclips', 'ui', 'plugin', 'abstract', 'uiplugin', 'org', 'osgi', 'framework', 'bundl', 'context', 'com', 'googl', 'common', 'base', 'predic', 'se', 'kau', 'cs', 'jittac', 'eclips', 'builder', 'jdt', 'jdtimplement', 'model', 'factori', 'se', 'kau', 'cs', 'jittac', 'model', 'im', 'implement', 'model', 'factori', 'registri', 'se', 'kau', 'cs', 'jittac', 'model', 'map', 'jittac', 'resourc', 'model', 'registri', 'se', 'kau', 'cs', 'jittac', 'model', 'map', 'eclips', 'eclips', 'jittac', 'resourc', 'factori', 'se', 'kau', 'cs', 'jittac', 'eclipse']"
ArchitectureMapping.java,resource-mapping,"['util', 'array', 'list', 'util', 'hash', 'set', 'util', 'list', 'util', 'map', 'util', 'set', 'org', 'apach', 'common', 'collect', 'map', 'hash', 'map', 'se', 'kau', 'cs', 'jittac', 'model', 'am', 'architectur', 'model', 'se', 'kau', 'cs', 'jittac', 'model', 'am', 'compon', 'se', 'kau', 'cs', 'jittac', 'model', 'am', 'event', 'abstract', 'architectur', 'model', 'chang', 'listen', 'se', 'kau', 'cs', 'jittac', 'model', 'am', 'event', 'compon', 'remov', 'event', 'se', 'kau', 'cs', 'jittac', 'model', 'map', 'event', 'architectur', 'map', 'chang', 'event', 'se', 'kau', 'cs', 'jittac', 'model', 'map', 'event', 'iarchitectur', 'map', 'chang', 'listen', 'se', 'kau', 'cs', 'jittac', 'model', 'map', 'event', 'manag', 'project', 'ad', 'event', 'se', 'kau', 'cs', 'jittac', 'model', 'map', 'event', 'manag', 'project', 'remov', 'event', 'se', 'kau', 'cs', 'jittac', 'model', 'map', 'event', 'map', 'addit', 'event', 'se', 'kau', 'cs', 'jittac', 'model', 'map', 'event', 'map', 'remov', 'event', 'se', 'kau', 'cs', 'jittac', 'model', 'mapping']"
