FileName,Label,FileContent
Apache20LicenseHelp.java,apache-util,"package org.processmining.help;

public class Apache20LicenseHelp {

	public final static String TEXT = """"
			+ ""Retrieves (live) and shows the Apache 2.0 License."";
}
"
LGPLLicenseHelp.java,basic-util,"package org.processmining.basicutils.help;

public class LGPLLicenseHelp {

	public final static String TEXT = """"
			+ ""Retrieves (live) and shows the L-GPL License."";
}
"
ObjectArrayImpl.java,basic-util,"package org.processmining.basicutils.models.impl;

import java.io.File;
import java.io.InputStream;
import java.io.InputStreamReader;
import java.io.Reader;
import java.util.ArrayList;
import java.util.List;

import org.processmining.basicutils.models.ObjectArray;
import org.processmining.framework.abstractplugins.AbstractImportPlugin;
import org.processmining.framework.plugin.PluginContext;

import com.csvreader.CsvReader;

public abstract class ObjectArrayImpl<K> implements ObjectArray<K>  {
	protected List<K> list = new ArrayList<K>();
	
	public void init() {
		list = new ArrayList<K>();
	}

	public int addElement(K element) {
		list.add(element);
		return list.size() - 1;
	}

	public int removeElement(K element) {
		int ret = list.indexOf(element);
		list.remove(element);
		return ret;
	}

	public void addElement(int index, K element) {
		list.add(index, element);
	}

	public void removeElement(int index) {
		list.remove(index);
	}

	public K getElement(int index) {
		return list.get(index);
	}

	public int getSize() {
		return list.size();
	}
	
	@SuppressWarnings(""unchecked"")
	public void importFromStream(PluginContext context, InputStream input, String parent, AbstractImportPlugin importer) throws Exception {
		Reader streamReader = new InputStreamReader(input);
		CsvReader csvReader = new CsvReader(streamReader);
		init();
		while (csvReader.readRecord()) {
			String fileName = csvReader.get(0);
			if (parent != null && fileName.indexOf(File.separator) == -1) {
				fileName = parent + File.separator + fileName;
			}
			System.out.println(""Importing element "" + fileName);
			K element = (K) importer.importFile(context, fileName);
			this.addElement(element);
		}
		csvReader.close();
	}
}
"
LGPLLicense.java,basic-util,"package org.processmining.basicutils.models;

import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStream;
import java.io.InputStreamReader;
import java.net.MalformedURLException;
import java.net.URL;

import org.processmining.framework.util.HTMLToString;

public class LGPLLicense implements HTMLToString {

	public String toHTMLString(boolean includeHTMLTags) {
		StringBuffer buffer = new StringBuffer();
		URL url;
		InputStream is = null;
		BufferedReader br;
		String line;
		String start = ""<div dir=\""ltr\"">"";
		String end = ""/div>"";

		if (includeHTMLTags) {
			buffer.append(""<html>"");
		}
		try {
			url = new URL(""https://www.gnu.org/licenses/lgpl.html"");
			is = url.openStream(); // throws an IOException
			br = new BufferedReader(new InputStreamReader(is));
			boolean copy = false;

			while ((line = br.readLine()) != null) {
				if (line.indexOf(start) >= 0) {
					copy = true;
					line = line.substring(line.indexOf(start) + start.length());
				}
				if (line.indexOf(end) > 0) {
					line = line.substring(0, line.indexOf(end) - 1);
					if (copy) {
						copy = false;
						buffer.append(line);
						buffer.append(""\n"");
					}
				}
				if (copy) {
					buffer.append(line);
					buffer.append(""\n"");
				}
			}
		} catch (MalformedURLException mue) {
			mue.printStackTrace();
		} catch (IOException ioe) {
			ioe.printStackTrace();
		} finally {
			try {
				if (is != null)
					is.close();
			} catch (IOException ioe) {
				// nothing to see here
			}
		}
		if (includeHTMLTags) {
			buffer.append(""</html>"");
		}

		return buffer.toString();
	}

}
"
ObjectArray.java,basic-util,"package org.processmining.basicutils.models;

import java.io.File;
import java.io.InputStream;

import org.processmining.framework.plugin.PluginContext;

public interface ObjectArray<K> {
	/**
	 * Initializes the object array.
	 */
	void init();

	/**
	 * Add the element to the array
	 * @param element
	 * @return the index of the element
	 */
	int addElement(K element);

	/**
	 * Remove the element from the array
	 * @param element
	 * @return
	 */
	int removeElement(K element);

	/**
	 * Add the element at the specific index
	 * @param index
	 * @param element
	 */
	void addElement(int index, K element);

	/**
	 * Remove the element at the specific index
	 * @param index
	 */
	void removeElement(int index);

	/**
	 * Return the element at the specific index
	 * @param index
	 * @return
	 */
	K getElement(int index);
	
	int getSize();
	
	public void importFromStream(PluginContext context, InputStream input, String parent) throws Exception;
	public void exportToFile(PluginContext context, File file) throws Exception;
}
"
PluginParametersImpl.java,basic-util,"package org.processmining.basicutils.parameters.impl;

import org.processmining.basicutils.parameters.PluginParameters;
import org.processmining.framework.plugin.PluginContext;
import org.processmining.framework.plugin.events.Logger.MessageLevel;

public class PluginParametersImpl implements PluginParameters {

	private int messageLevel;
	private boolean tryConnections;
	
	public PluginParametersImpl() {
		setMessageLevel(PluginParameters.MESSAGE);
		setTryConnections(true);
	}
	
	public PluginParametersImpl(PluginParameters parameters) {
		setMessageLevel(parameters.getMessageLevel());
		setTryConnections(parameters.isTryConnections());
	}
	
	public boolean equals(Object object) {
		if (object instanceof PluginParametersImpl) {
			PluginParametersImpl parameters = (PluginParametersImpl) object;
			return getMessageLevel() == parameters.getMessageLevel()
					&& isTryConnections() == parameters.isTryConnections();
		}
		return false;
	}
	
	public int getMessageLevel() {
		return messageLevel;
	}

	public void setMessageLevel(int messageLevel) {
		this.messageLevel = messageLevel;
	}
	
	public void displayMessage(String text) {
		if (messageLevel >= PluginParameters.MESSAGE) {
			System.out.println(text);
		}
	}
	
	public void displayWarning(String text) {
		if (messageLevel >= PluginParameters.WARNING) {
			System.out.println(text);
		}
	}
	
	public void displayError(String text) {
		if (messageLevel >= PluginParameters.ERROR) {
			System.err.println(text);
		}
	}

	public void displayMessage(PluginContext context, String text) {
		if (messageLevel >= PluginParameters.MESSAGE) {
			context.log(text, MessageLevel.NORMAL);
		}
	}
	
	public void displayWarning(PluginContext context, String text) {
		if (messageLevel >= PluginParameters.WARNING) {
			context.log(text, MessageLevel.WARNING);
		}
	}
	
	public void displayError(PluginContext context, String text) {
		if (messageLevel >= PluginParameters.ERROR) {
			context.log(text, MessageLevel.ERROR);
		}
	}

	public boolean isTryConnections() {
		return tryConnections;
	}

	public void setTryConnections(boolean tryConnections) {
		this.tryConnections = tryConnections;
	}
}
"
PluginParameters.java,basic-util,"package org.processmining.basicutils.parameters;

import org.processmining.framework.plugin.PluginContext;

public interface PluginParameters {

	public final static int MESSAGE = 1;
	public final static int WARNING = 2;
	public final static int ERROR = 3;
	public final static int DEBUG = 4;

	public int getMessageLevel();

	public void setMessageLevel(int messageLevel);
	
	public void displayMessage(String text);
	
	public void displayWarning(String text);
	
	public void displayError(String text);

	public void displayMessage(PluginContext context, String text);
	
	public void displayWarning(PluginContext context, String text);
	
	public void displayError(PluginContext context, String text);

	public boolean isTryConnections();

	public void setTryConnections(boolean tryConnections);
}
"
LGPLLicensePlugin.java,basic-util,"package org.processmining.basicutils.plugins;

import org.processmining.basicutils.help.LGPLLicenseHelp;
import org.processmining.basicutils.models.LGPLLicense;
import org.processmining.contexts.uitopia.UIPluginContext;
import org.processmining.contexts.uitopia.annotations.UITopiaVariant;
import org.processmining.framework.plugin.annotations.Plugin;
import org.processmining.framework.plugin.annotations.PluginVariant;

@Plugin(name = ""Show L-GPL License"", parameterLabels = { }, returnLabels = { ""Apache License, Version 2.0"" }, returnTypes = { LGPLLicense.class }, help = LGPLLicenseHelp.TEXT)
public class LGPLLicensePlugin {

	@UITopiaVariant(affiliation = UITopiaVariant.EHV, author = ""H.M.W. Verbeek"", email = ""h.m.w.verbeek@tue.nl"")
	@PluginVariant(variantLabel = ""Show L-GPL License"", requiredParameterLabels = { })
	public LGPLLicense runUI(UIPluginContext context) {
		return new LGPLLicense();
	}

	/**
	 * @deprecated Use runUI instead.
	 */
	@Deprecated
	public LGPLLicense show(UIPluginContext context) {
		return runUI(context);
	}
}
"
HTMLUtils.java,basic-util,"package org.processmining.basicutils.utils;

public class HTMLUtils {

	public static String encode(String s) {
		return s.replaceAll(""&"", ""&amp;"").replaceAll(""<"", ""&lt"").replaceAll("">"", ""&gt;"");
	}
}
"
StringConstants.java,basic-util,"package org.processmining.basicutils.utils;

public class StringConstants {

	public final static String START = "" |start> "";
	public final static String END = "" [end] "";
	
}
"
