FileName,Label,FileContent
AbstractAuthored.java,context,"['net', 'uri', 'net', 'url', 'org', 'deckfour', 'uitopia', 'api', 'model', 'author', 'org', 'processmining', 'contexts', 'uitopia', 'model']"
AbstractCSVFile.java,log,"['io', 'file', 'input', 'stream', 'io', 'ioexcept', 'io', 'input', 'stream', 'nio', 'file', 'path', 'util', 'zip', 'gzipinput', 'stream', 'util', 'zip', 'zip', 'entri', 'util', 'zip', 'zip', 'input', 'stream', 'com', 'googl', 'common', 'io', 'file', 'org', 'processmining', 'log', 'csv']"
AbstractCSVFile.java,log,"['io', 'file', 'input', 'stream', 'io', 'ioexcept', 'io', 'input', 'stream', 'nio', 'file', 'path', 'util', 'zip', 'gzipinput', 'stream', 'util', 'zip', 'zip', 'entri', 'util', 'zip', 'zip', 'input', 'stream', 'com', 'googl', 'common', 'io', 'file', 'org', 'processmining', 'log', 'csv']"
AbstractConnection.java,context,"['lang', 'ref', 'weak', 'refer', 'util', 'array', 'list', 'util', 'array', 'util', 'collect', 'util', 'hash', 'map', 'util', 'iter', 'util', 'map', 'util', 'object', 'util', 'set', 'org', 'processmin', 'framework', 'connect', 'connect', 'org', 'processmin', 'framework', 'connect', 'connect', 'annot', 'org', 'processmin', 'framework', 'connect', 'connect', 'id', 'org', 'processmin', 'framework', 'connect', 'connect', 'manag', 'org', 'processmin', 'framework', 'connect', 'annot', 'connect', 'doesnt', 'exist', 'messag', 'org', 'processmin', 'framework', 'plugin', 'annot', 'keep', 'in', 'pro', 'mcach', 'org', 'processmin', 'framework', 'util', 'collect', 'hash', 'multi', 'set', 'org', 'processmin', 'framework', 'util', 'collect', 'multi', 'set', 'org', 'processmining', 'framework', 'connections', 'impl']"
AbstractConnection.java,framework,"['lang', 'ref', 'weak', 'refer', 'util', 'array', 'list', 'util', 'array', 'util', 'collect', 'util', 'hash', 'map', 'util', 'iter', 'util', 'map', 'util', 'object', 'util', 'set', 'org', 'processmin', 'framework', 'connect', 'connect', 'org', 'processmin', 'framework', 'connect', 'connect', 'annot', 'org', 'processmin', 'framework', 'connect', 'connect', 'id', 'org', 'processmin', 'framework', 'connect', 'connect', 'manag', 'org', 'processmin', 'framework', 'connect', 'annot', 'connect', 'doesnt', 'exist', 'messag', 'org', 'processmin', 'framework', 'plugin', 'annot', 'keep', 'in', 'pro', 'mcach', 'org', 'processmin', 'framework', 'util', 'collect', 'hash', 'multi', 'set', 'org', 'processmin', 'framework', 'util', 'collect', 'multi', 'set', 'org', 'processmining', 'framework', 'connections', 'impl']"
AbstractDialog.java,widget,"['javax', 'swing', 'joption', 'pane', 'org', 'processmin', 'context', 'uitopia', 'uiplugin', 'context', 'org', 'processmin', 'framework', 'util', 'ui', 'widget', 'pro', 'mheader', 'panel', 'org', 'processmining', 'widgets', 'wizard']"
AbstractDirectedGraph.java,model,"['util', 'array', 'list', 'util', 'collect', 'util', 'collect', 'util', 'link', 'hash', 'map', 'util', 'link', 'hash', 'set', 'util', 'map', 'org', 'processmin', 'framework', 'util', 'cast', 'org', 'processmin', 'model', 'graphbas', 'abstract', 'graph', 'org', 'processmining', 'models', 'graphbased', 'directed']"
AbstractDirectedGraphEdge.java,model,"['org', 'processmin', 'model', 'graphbas', 'abstract', 'graph', 'edg', 'org', 'processmining', 'models', 'graphbased', 'directed']"
AbstractDirectedGraphNode.java,model,"['org', 'processmin', 'model', 'graphbas', 'abstract', 'graph', 'node', 'org', 'processmining', 'models', 'graphbased', 'directed']"
AbstractDirectedHypergraph.java,model,"['util', 'array', 'list', 'util', 'collect', 'util', 'set', 'org', 'processmin', 'model', 'graphbas', 'abstract', 'graph', 'org', 'processmining', 'models', 'graphbased', 'directedhypergraph']"
AbstractDirectedHypergraphNode.java,model,"['awt', 'dimens', 'org', 'processmin', 'model', 'graphbas', 'abstract', 'graph', 'node', 'org', 'processmin', 'model', 'graphbas', 'attribut', 'map', 'org', 'processmining', 'models', 'graphbased', 'directedhypergraph']"
AbstractDirectedIncomingHyperedge.java,model,"['util', 'iter', 'util', 'set', 'util', 'sort', 'set', 'util', 'tree', 'set', 'org', 'processmin', 'framework', 'util', 'cast', 'org', 'processmin', 'model', 'graphbas', 'abstract', 'graph', 'edg', 'org', 'processmin', 'model', 'graphbas', 'attribut', 'map', 'org', 'processmining', 'models', 'graphbased', 'directedhypergraph']"
AbstractDirectedOutgoingHyperedge.java,model,"['util', 'iter', 'util', 'set', 'util', 'sort', 'set', 'util', 'tree', 'set', 'org', 'processmin', 'framework', 'util', 'cast', 'org', 'processmin', 'model', 'graphbas', 'abstract', 'graph', 'edg', 'org', 'processmin', 'model', 'graphbas', 'attribut', 'map', 'org', 'processmining', 'models', 'graphbased', 'directedhypergraph']"
AbstractDotElement.java,graphviz,"['awt', 'event', 'mous', 'event', 'awt', 'event', 'mous', 'listen', 'util', 'collect', 'util', 'hash', 'map', 'util', 'list', 'util', 'map', 'util', 'set', 'util', 'uuid', 'util', 'concurr', 'copi', 'on', 'write', 'array', 'list', 'org', 'processmin', 'plugin', 'graphviz', 'visualis', 'listen', 'dot', 'element', 'select', 'listen', 'org', 'processmining', 'plugins', 'graphviz', 'dot']"
AbstractGlobalContext.java,context,"['org', 'processmin', 'framework', 'connect', 'connect', 'manag', 'org', 'processmin', 'framework', 'connect', 'impl', 'connect', 'manag', 'impl', 'org', 'processmin', 'framework', 'plugin', 'global', 'context', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'id', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'descriptor', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'manag', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'paramet', 'bind', 'org', 'processmin', 'framework', 'plugin', 'event', 'logger', 'org', 'processmin', 'framework', 'providedobject', 'provid', 'object', 'manag', 'org', 'processmin', 'framework', 'providedobject', 'impl', 'provid', 'object', 'manag', 'impl', 'org', 'processmining', 'framework', 'plugin', 'impl']"
AbstractGlobalContext.java,framework,"['org', 'processmin', 'framework', 'connect', 'connect', 'manag', 'org', 'processmin', 'framework', 'connect', 'impl', 'connect', 'manag', 'impl', 'org', 'processmin', 'framework', 'plugin', 'global', 'context', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'id', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'descriptor', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'manag', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'paramet', 'bind', 'org', 'processmin', 'framework', 'plugin', 'event', 'logger', 'org', 'processmin', 'framework', 'providedobject', 'provid', 'object', 'manag', 'org', 'processmin', 'framework', 'providedobject', 'impl', 'provid', 'object', 'manag', 'impl', 'org', 'processmining', 'framework', 'plugin', 'impl']"
AbstractGraph.java,model,"['util', 'collect', 'util', 'collect', 'util', 'hash', 'set', 'org', 'processmining', 'models', 'graphbased']"
AbstractGraphEdge.java,model,"['org', 'processmin', 'model', 'graphbas', 'direct', 'abstract', 'direct', 'graph', 'edg', 'org', 'processmining', 'models', 'graphbased']"
AbstractGraphElement.java,model,"['org', 'processmining', 'models', 'graphbased']"
AbstractGraphNode.java,model,"['org', 'processmining', 'models', 'graphbased']"
AbstractImportPlugin.java,framework,"['io', 'file', 'io', 'file', 'input', 'stream', 'io', 'file', 'not', 'found', 'except', 'io', 'input', 'stream', 'net', 'uri', 'net', 'url', 'javax', 'swing', 'filechoos', 'file', 'filter', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'variant', 'org', 'processmining', 'framework', 'abstractplugins']"
AbstractImportPlugin.java,context,"['io', 'file', 'io', 'file', 'input', 'stream', 'io', 'file', 'not', 'found', 'except', 'io', 'input', 'stream', 'net', 'uri', 'net', 'url', 'javax', 'swing', 'filechoos', 'file', 'filter', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'variant', 'org', 'processmining', 'framework', 'abstractplugins']"
AbstractLogExporter.java,log,"['io', 'file', 'io', 'ioexcept', 'org', 'deckfour', 'xe', 'model', 'xlog', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'log', 'util', 'xutil', 'org', 'processmining', 'plugins', 'log', 'exporting']"
AbstractLogFilterParameters.java,log,"['org', 'deckfour', 'xe', 'classif', 'xevent', 'classifi', 'org', 'processmin', 'basicutil', 'paramet', 'impl', 'plugin', 'paramet', 'impl', 'org', 'processmining', 'log', 'parameters']"
AbstractLogFilterParameters.java,log,"['org', 'deckfour', 'xe', 'classif', 'xevent', 'classifi', 'org', 'processmin', 'basicutil', 'paramet', 'impl', 'plugin', 'paramet', 'impl', 'org', 'processmining', 'log', 'parameters']"
AbstractLogModelConnection.java,log,"['lang', 'ref', 'weak', 'refer', 'util', 'collect', 'util', 'collect', 'util', 'hash', 'set', 'util', 'map', 'util', 'set', 'util', 'weak', 'hash', 'map', 'org', 'deckfour', 'xe', 'classif', 'xevent', 'class', 'org', 'deckfour', 'xe', 'classif', 'xevent', 'class', 'org', 'deckfour', 'xe', 'extens', 'std', 'xconcept', 'extens', 'org', 'deckfour', 'xe', 'model', 'xlog', 'org', 'processmin', 'framework', 'connect', 'impl', 'abstract', 'strong', 'referenc', 'connect', 'org', 'processmin', 'framework', 'util', 'pair', 'org', 'processmin', 'model', 'graphbas', 'direct', 'direct', 'graph', 'org', 'processmin', 'model', 'graphbas', 'direct', 'direct', 'graph', 'edg', 'org', 'processmin', 'model', 'graphbas', 'direct', 'direct', 'graph', 'node', 'org', 'processmining', 'models', 'connections']"
AbstractMultiSet.java,context,"['util', 'abstract', 'collect', 'util', 'array', 'list', 'util', 'collect', 'util', 'collect', 'util', 'iter', 'util', 'list', 'util', 'map', 'util', 'map', 'entri', 'util', 'no', 'such', 'element', 'except', 'util', 'set', 'org', 'processmin', 'framework', 'util', 'cast', 'org', 'processmining', 'framework', 'util', 'collection']"
AbstractMultiSet.java,framework,"['util', 'abstract', 'collect', 'util', 'array', 'list', 'util', 'collect', 'util', 'collect', 'util', 'iter', 'util', 'list', 'util', 'map', 'util', 'map', 'entri', 'util', 'no', 'such', 'element', 'except', 'util', 'set', 'org', 'processmin', 'framework', 'util', 'cast', 'org', 'processmining', 'framework', 'util', 'collection']"
AbstractPluginContext.java,framework,"['util', 'array', 'list', 'util', 'collect', 'util', 'collect', 'util', 'compar', 'util', 'hash', 'set', 'util', 'set', 'util', 'sort', 'set', 'util', 'tree', 'set', 'util', 'concurr', 'cancel', 'except', 'util', 'concurr', 'execut', 'except', 'org', 'processmin', 'framework', 'connect', 'connect', 'org', 'processmin', 'framework', 'connect', 'connect', 'cannot', 'be', 'obtain', 'org', 'processmin', 'framework', 'connect', 'connect', 'manag', 'org', 'processmin', 'framework', 'plugin', 'global', 'context', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'id', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'descriptor', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'execut', 'result', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'manag', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'paramet', 'bind', 'org', 'processmin', 'framework', 'plugin', 'pro', 'mfutur', 'org', 'processmin', 'framework', 'plugin', 'progress', 'org', 'processmin', 'framework', 'plugin', 'recurs', 'call', 'except', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'event', 'logger', 'org', 'processmin', 'framework', 'plugin', 'event', 'logger', 'messag', 'level', 'org', 'processmin', 'framework', 'plugin', 'event', 'plugin', 'life', 'cycl', 'event', 'listen', 'org', 'processmin', 'framework', 'plugin', 'event', 'progress', 'event', 'listen', 'org', 'processmin', 'framework', 'providedobject', 'provid', 'object', 'manag', 'org', 'processmin', 'framework', 'util', 'cast', 'org', 'processmin', 'framework', 'util', 'pair', 'org', 'processmining', 'framework', 'plugin', 'impl']"
AbstractPluginContext.java,context,"['util', 'array', 'list', 'util', 'collect', 'util', 'collect', 'util', 'compar', 'util', 'hash', 'set', 'util', 'set', 'util', 'sort', 'set', 'util', 'tree', 'set', 'util', 'concurr', 'cancel', 'except', 'util', 'concurr', 'execut', 'except', 'org', 'processmin', 'framework', 'connect', 'connect', 'org', 'processmin', 'framework', 'connect', 'connect', 'cannot', 'be', 'obtain', 'org', 'processmin', 'framework', 'connect', 'connect', 'manag', 'org', 'processmin', 'framework', 'plugin', 'global', 'context', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'id', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'descriptor', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'execut', 'result', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'manag', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'paramet', 'bind', 'org', 'processmin', 'framework', 'plugin', 'pro', 'mfutur', 'org', 'processmin', 'framework', 'plugin', 'progress', 'org', 'processmin', 'framework', 'plugin', 'recurs', 'call', 'except', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'event', 'logger', 'org', 'processmin', 'framework', 'plugin', 'event', 'logger', 'messag', 'level', 'org', 'processmin', 'framework', 'plugin', 'event', 'plugin', 'life', 'cycl', 'event', 'listen', 'org', 'processmin', 'framework', 'plugin', 'event', 'progress', 'event', 'listen', 'org', 'processmin', 'framework', 'providedobject', 'provid', 'object', 'manag', 'org', 'processmin', 'framework', 'util', 'cast', 'org', 'processmin', 'framework', 'util', 'pair', 'org', 'processmining', 'framework', 'plugin', 'impl']"
