FileName,Label,FileContent
Account.java,entity,"['util', 'date', 'com', 'googlecod', 'objectifi', 'ref', 'com', 'googlecod', 'objectifi', 'annot', 'entiti', 'com', 'googlecod', 'objectifi', 'annot', 'id', 'com', 'googlecod', 'objectifi', 'annot', 'ignor', 'com', 'googlecod', 'objectifi', 'annot', 'index', 'teammates', 'storage', 'entity']"
AccountAttributes.java,data-transfer,"['util', 'array', 'list', 'util', 'date', 'util', 'list', 'teammat', 'common', 'util', 'assumpt', 'teammat', 'common', 'util', 'field', 'valid', 'teammat', 'common', 'util', 'json', 'util', 'teammat', 'common', 'util', 'sanit', 'helper', 'teammat', 'common', 'util', 'string', 'helper', 'teammat', 'storag', 'entiti', 'account', 'teammates', 'common', 'datatransfer', 'attributes']"
AccountsDb.java,storage-api,"['com', 'googlecod', 'objectifi', 'objectifi', 'servic', 'ofi', 'util', 'collect', 'util', 'link', 'list', 'util', 'list', 'com', 'googl', 'appengin', 'api', 'blobstor', 'blob', 'key', 'com', 'googlecod', 'objectifi', 'key', 'com', 'googlecod', 'objectifi', 'cmd', 'load', 'type', 'com', 'googlecod', 'objectifi', 'cmd', 'queri', 'key', 'teammat', 'common', 'datatransf', 'attribut', 'account', 'attribut', 'teammat', 'common', 'datatransf', 'attribut', 'student', 'profil', 'attribut', 'teammat', 'common', 'except', 'entiti', 'alreadi', 'exist', 'except', 'teammat', 'common', 'except', 'entiti', 'doe', 'not', 'exist', 'except', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'common', 'util', 'assumpt', 'teammat', 'common', 'util', 'const', 'teammat', 'common', 'util', 'thread', 'helper', 'teammat', 'storag', 'entiti', 'account', 'teammat', 'storag', 'entiti', 'student', 'profil', 'teammates', 'storage', 'api']"
AccountsLogic.java,logic-core,"['util', 'list', 'teammat', 'common', 'datatransf', 'attribut', 'account', 'attribut', 'teammat', 'common', 'datatransf', 'attribut', 'cours', 'attribut', 'teammat', 'common', 'datatransf', 'attribut', 'instructor', 'attribut', 'teammat', 'common', 'datatransf', 'attribut', 'student', 'attribut', 'teammat', 'common', 'datatransf', 'attribut', 'student', 'profil', 'attribut', 'teammat', 'common', 'except', 'entiti', 'doe', 'not', 'exist', 'except', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'common', 'except', 'join', 'cours', 'except', 'teammat', 'common', 'except', 'teammat', 'except', 'teammat', 'common', 'util', 'assumpt', 'teammat', 'common', 'util', 'const', 'teammat', 'common', 'util', 'logger', 'teammat', 'common', 'util', 'string', 'helper', 'teammat', 'storag', 'api', 'account', 'db', 'teammates', 'logic', 'core']"
Action.java,ui-controller,"['util', 'array', 'list', 'util', 'list', 'util', 'map', 'javax', 'servlet', 'http', 'http', 'servlet', 'request', 'javax', 'servlet', 'http', 'http', 'session', 'teammat', 'common', 'datatransf', 'user', 'type', 'teammat', 'common', 'datatransf', 'attribut', 'account', 'attribut', 'teammat', 'common', 'datatransf', 'attribut', 'student', 'attribut', 'teammat', 'common', 'except', 'entiti', 'doe', 'not', 'exist', 'except', 'teammat', 'common', 'except', 'entiti', 'not', 'found', 'except', 'teammat', 'common', 'except', 'invalid', 'origin', 'except', 'teammat', 'common', 'except', 'unauthor', 'access', 'except', 'teammat', 'common', 'util', 'assumpt', 'teammat', 'common', 'util', 'config', 'teammat', 'common', 'util', 'const', 'teammat', 'common', 'util', 'crypto', 'helper', 'teammat', 'common', 'util', 'http', 'request', 'helper', 'teammat', 'common', 'util', 'log', 'messag', 'gener', 'teammat', 'common', 'util', 'sanit', 'helper', 'teammat', 'common', 'util', 'statu', 'messag', 'teammat', 'common', 'util', 'statu', 'messag', 'color', 'teammat', 'common', 'util', 'string', 'helper', 'teammat', 'common', 'util', 'url', 'teammat', 'logic', 'api', 'email', 'sender', 'teammat', 'logic', 'api', 'gate', 'keeper', 'teammat', 'logic', 'api', 'logic', 'teammat', 'logic', 'api', 'task', 'queuer', 'teammat', 'ui', 'pagedata', 'page', 'data', 'teammates', 'ui', 'controller']"
ActionFactory.java,ui-controller,"['teammat', 'common', 'util', 'const', 'action', 'uri', 'util', 'hash', 'map', 'util', 'map', 'javax', 'servlet', 'http', 'http', 'servlet', 'request', 'teammat', 'common', 'except', 'page', 'not', 'found', 'except', 'teammat', 'common', 'except', 'teammat', 'except', 'teammat', 'common', 'util', 'logger', 'teammates', 'ui', 'controller']"
ActionResult.java,ui-controller,"['io', 'ioexcept', 'util', 'array', 'list', 'util', 'hash', 'map', 'util', 'list', 'util', 'map', 'javax', 'servlet', 'servlet', 'except', 'javax', 'servlet', 'http', 'cooki', 'javax', 'servlet', 'http', 'http', 'servlet', 'request', 'javax', 'servlet', 'http', 'http', 'servlet', 'respons', 'teammat', 'common', 'datatransf', 'attribut', 'account', 'attribut', 'teammat', 'common', 'util', 'const', 'teammat', 'common', 'util', 'crypto', 'helper', 'teammat', 'common', 'util', 'http', 'request', 'helper', 'teammat', 'common', 'util', 'statu', 'messag', 'teammat', 'common', 'util', 'string', 'helper', 'teammat', 'common', 'util', 'url', 'teammates', 'ui', 'controller']"
Activity.java,util,"['teammates', 'common', 'util']"
ActivityLogEntry.java,util,"['util', 'array', 'util', 'regex', 'pattern', 'com', 'googl', 'appengin', 'api', 'log', 'app', 'log', 'line', 'teammates', 'common', 'util']"
AdminAccountDeleteAction.java,ui-controller,"['teammat', 'common', 'datatransf', 'attribut', 'instructor', 'attribut', 'teammat', 'common', 'datatransf', 'attribut', 'student', 'attribut', 'teammat', 'common', 'util', 'const', 'teammat', 'common', 'util', 'statu', 'messag', 'teammat', 'common', 'util', 'statu', 'messag', 'color', 'teammates', 'ui', 'controller']"
